module_idx,module_name,label_idx,category
370,Mathlib.Algebra.Group.Equiv.TypeTags,0,Algebra
371,Mathlib.Algebra.Group.Even,0,Algebra
372,Mathlib.Algebra.Group.EvenFunction,0,Algebra
373,Mathlib.Algebra.Group.Ext,0,Algebra
374,Mathlib.Algebra.Group.Fin.Basic,0,Algebra
375,Mathlib.Algebra.Group.Fin.Tuple,0,Algebra
376,Mathlib.Algebra.Group.Finsupp,0,Algebra
377,Mathlib.Algebra.Group.ForwardDiff,0,Algebra
378,Mathlib.Algebra.Group.Graph,0,Algebra
379,Mathlib.Algebra.Group.Hom.Basic,0,Algebra
380,Mathlib.Algebra.Group.Hom.CompTypeclasses,0,Algebra
381,Mathlib.Algebra.Group.Hom.Defs,0,Algebra
382,Mathlib.Algebra.Group.Hom.End,0,Algebra
383,Mathlib.Algebra.Group.Hom.Instances,0,Algebra
384,Mathlib.Algebra.Group.Ideal,0,Algebra
385,Mathlib.Algebra.Group.Idempotent,0,Algebra
386,Mathlib.Algebra.Group.Indicator,0,Algebra
387,Mathlib.Algebra.Group.InjSurj,0,Algebra
388,Mathlib.Algebra.Group.Int.Defs,0,Algebra
389,Mathlib.Algebra.Group.Int.Even,0,Algebra
390,Mathlib.Algebra.Group.Int.TypeTags,0,Algebra
391,Mathlib.Algebra.Group.Int.Units,0,Algebra
392,Mathlib.Algebra.Group.Invertible.Basic,0,Algebra
393,Mathlib.Algebra.Group.Invertible.Defs,0,Algebra
394,Mathlib.Algebra.Group.Irreducible.Defs,0,Algebra
395,Mathlib.Algebra.Group.Irreducible.Indecomposable,0,Algebra
396,Mathlib.Algebra.Group.Irreducible.Lemmas,0,Algebra
397,Mathlib.Algebra.Group.MinimalAxioms,0,Algebra
398,Mathlib.Algebra.Group.ModEq,0,Algebra
399,Mathlib.Algebra.Group.Nat.Defs,0,Algebra
400,Mathlib.Algebra.Group.Nat.Even,0,Algebra
401,Mathlib.Algebra.Group.Nat.Hom,0,Algebra
402,Mathlib.Algebra.Group.Nat.Range,0,Algebra
403,Mathlib.Algebra.Group.Nat.TypeTags,0,Algebra
404,Mathlib.Algebra.Group.Nat.Units,0,Algebra
405,Mathlib.Algebra.Group.NatPowAssoc,0,Algebra
406,Mathlib.Algebra.Group.Opposite,0,Algebra
407,Mathlib.Algebra.Group.PNatPowAssoc,0,Algebra
408,Mathlib.Algebra.Group.PUnit,0,Algebra
409,Mathlib.Algebra.Group.Pi.Basic,0,Algebra
410,Mathlib.Algebra.Group.Pi.Lemmas,0,Algebra
411,Mathlib.Algebra.Group.Pi.Units,0,Algebra
412,Mathlib.Algebra.Group.Pointwise.Finset.Basic,0,Algebra
413,Mathlib.Algebra.Group.Pointwise.Finset.BigOperators,0,Algebra
414,Mathlib.Algebra.Group.Pointwise.Finset.Density,0,Algebra
415,Mathlib.Algebra.Group.Pointwise.Finset.Interval,0,Algebra
416,Mathlib.Algebra.Group.Pointwise.Finset.Scalar,0,Algebra
417,Mathlib.Algebra.Group.Pointwise.Set.Basic,0,Algebra
418,Mathlib.Algebra.Group.Pointwise.Set.BigOperators,0,Algebra
