module_idx,module_name,category,source,description
2329,Mathlib.CategoryTheory.Adjunction.Evaluation,CategoryTheory,name_tokens,category theory category theory adjunction evaluation
2330,Mathlib.CategoryTheory.Adjunction.FullyFaithful,CategoryTheory,name_tokens,category theory category theory adjunction fully faithful
2331,Mathlib.CategoryTheory.Adjunction.Lifting.Left,CategoryTheory,name_tokens,category theory category theory adjunction lifting left
2332,Mathlib.CategoryTheory.Adjunction.Lifting.Right,CategoryTheory,name_tokens,category theory category theory adjunction lifting right
2333,Mathlib.CategoryTheory.Adjunction.Limits,CategoryTheory,name_tokens,category theory category theory adjunction limits
2334,Mathlib.CategoryTheory.Adjunction.Mates,CategoryTheory,name_tokens,category theory category theory adjunction mates
2335,Mathlib.CategoryTheory.Adjunction.Opposites,CategoryTheory,name_tokens,category theory category theory adjunction opposites
2336,Mathlib.CategoryTheory.Adjunction.Parametrized,CategoryTheory,name_tokens,category theory category theory adjunction parametrized
2337,Mathlib.CategoryTheory.Adjunction.PartialAdjoint,CategoryTheory,name_tokens,category theory category theory adjunction partial adjoint
2338,Mathlib.CategoryTheory.Adjunction.Quadruple,CategoryTheory,name_tokens,category theory category theory adjunction quadruple
2339,Mathlib.CategoryTheory.Adjunction.Reflective,CategoryTheory,name_tokens,category theory category theory adjunction reflective
2340,Mathlib.CategoryTheory.Adjunction.Restrict,CategoryTheory,name_tokens,category theory category theory adjunction restrict
2341,Mathlib.CategoryTheory.Adjunction.Triple,CategoryTheory,name_tokens,category theory category theory adjunction triple
2342,Mathlib.CategoryTheory.Adjunction.Unique,CategoryTheory,name_tokens,category theory category theory adjunction unique
2343,Mathlib.CategoryTheory.Adjunction.Whiskering,CategoryTheory,name_tokens,category theory category theory adjunction whiskering
2344,Mathlib.CategoryTheory.Balanced,CategoryTheory,name_tokens,category theory category theory balanced
2345,Mathlib.CategoryTheory.Bicategory.Adjunction.Adj,CategoryTheory,name_tokens,category theory category theory bicategory adjunction adj
2346,Mathlib.CategoryTheory.Bicategory.Adjunction.Basic,CategoryTheory,name_tokens,category theory category theory bicategory adjunction basic
2347,Mathlib.CategoryTheory.Bicategory.Adjunction.Cat,CategoryTheory,name_tokens,category theory category theory bicategory adjunction cat
2348,Mathlib.CategoryTheory.Bicategory.Adjunction.Mate,CategoryTheory,name_tokens,category theory category theory bicategory adjunction mate
2349,Mathlib.CategoryTheory.Bicategory.Basic,CategoryTheory,name_tokens,category theory category theory bicategory basic
2350,Mathlib.CategoryTheory.Bicategory.CatEnriched,CategoryTheory,name_tokens,category theory category theory bicategory cat enriched
2351,Mathlib.CategoryTheory.Bicategory.Coherence,CategoryTheory,name_tokens,category theory category theory bicategory coherence
2352,Mathlib.CategoryTheory.Bicategory.End,CategoryTheory,name_tokens,category theory category theory bicategory end
2353,Mathlib.CategoryTheory.Bicategory.EqToHom,CategoryTheory,name_tokens,category theory category theory bicategory eq to hom
2354,Mathlib.CategoryTheory.Bicategory.Extension,CategoryTheory,name_tokens,category theory category theory bicategory extension
2355,Mathlib.CategoryTheory.Bicategory.Free,CategoryTheory,name_tokens,category theory category theory bicategory free
2356,Mathlib.CategoryTheory.Bicategory.Functor.Cat,CategoryTheory,name_tokens,category theory category theory bicategory functor cat
2357,Mathlib.CategoryTheory.Bicategory.Functor.Cat.ObjectProperty,CategoryTheory,name_tokens,category theory category theory bicategory functor cat object property
