mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,hier_bonus
pgroup,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3044,0.0,0.3044,-1,,10,9,0.3148,0.0
maximal,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.334,0.0,0.334,-1,,1,4,0.6549,0.0334
maximal,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.3081,0.0,0.3081,-1,,2,7,0.5893,0.0
maximal,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.3447,0.0,0.3447,1,MEDIUM,3,1,0.4004,0.0345
maximal,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.3404,0.0,0.3404,-1,,4,2,0.394,0.0341
maximal,solvable,Mathlib.GroupTheory.Subgroup.Saturated,GroupTheory,0.3392,0.0,0.3392,-1,,5,3,0.3923,0.0341
maximal,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.3093,0.0,0.3093,-1,,6,6,0.3505,0.0341
maximal,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3017,0.0,0.3017,-1,,7,8,0.3424,0.0
maximal,solvable,Mathlib.GroupTheory.Perm.Subgroup,GroupTheory,0.323,0.0,0.323,-1,,8,5,0.3355,0.0
maximal,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.2916,0.0,0.2916,-1,,9,9,0.3038,0.0
maximal,solvable,Mathlib.GroupTheory.CosetCover,GroupTheory,0.2297,0.0574,0.2871,-1,,10,10,0.299,0.0
jordanholder,solvable,Mathlib.Order.JordanHolder,Order,0.3346,0.0,0.3346,1,MEDIUM,1,1,0.5302,0.0335
jordanholder,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.2665,0.0,0.2665,-1,,2,6,0.3923,0.0267
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.2978,0.0,0.2978,-1,,3,2,0.3447,0.0298
jordanholder,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2332,0.0583,0.2915,-1,,4,3,0.3048,0.0
