mc_module,ml_module,base_score,concept,synonym,text_v3,broad_pen,reranked
frobenius,Mathlib.GroupTheory.Subgroup.Simple,0.3727,0.0,0.0,0.0783,0.0,0.3805
frobenius,Mathlib.GroupTheory.PushoutI,0.3691,0.0,0.0,0.067,0.0,0.3758
frobenius,Mathlib.GroupTheory.Abelianization.Defs,0.3607,0.0,0.0,0.0399,0.0,0.3647
frobenius,Mathlib.GroupTheory.CosetCover,0.3509,0.0,0.0,0.0479,0.0,0.3557
frobenius,Mathlib.GroupTheory.HNNExtension,0.3502,0.0,0.0,0.0455,0.0,0.3548
frobenius,Mathlib.GroupTheory.Perm.ViaEmbedding,0.3361,0.0,0.0,0.0311,0.0,0.3392
cyclic,Mathlib.GroupTheory.SpecificGroups.Cyclic,0.4452,1.0,0.1429,0.3521,0.0,0.7418
cyclic,Mathlib.GroupTheory.Archimedean,0.3521,0.0,0.0,0.1685,0.0,0.369
cyclic,Mathlib.GroupTheory.Exponent,0.3424,0.0,0.0,0.1295,0.0,0.3553
cyclic,Mathlib.GroupTheory.Perm.Closure,0.3352,0.0,0.0,0.174,0.0,0.3526
cyclic,Mathlib.Algebra.Order.Group.Cyclic,0.3317,1.0,0.25,0.2268,0.0,0.6244
cyclic,Mathlib.GroupTheory.Frattini,0.3312,0.0,0.0,0.0846,0.0,0.3397
cyclic,Mathlib.GroupTheory.Schreier,0.3307,0.0,0.0,0.0828,0.0,0.339
cyclic,Mathlib.GroupTheory.Focal,0.3306,0.0,0.0,0.0824,0.0,0.3388
cyclic,Mathlib.GroupTheory.SpecificGroups.ZGroup,0.3304,0.0,0.0,0.2467,0.0,0.3551
cyclic,Mathlib.GroupTheory.Commensurable,0.3294,0.0,0.0,0.0777,0.0,0.3372
burnside_app,Mathlib.GroupTheory.GroupAction.Defs,0.3236,0.125,0.0909,0.2356,0.0,0.3857
burnside_app,Mathlib.GroupTheory.GroupAction.Basic,0.2796,0.125,0.0909,0.3182,0.0,0.3499
burnside_app,Mathlib.GroupTheory.GroupAction.Hom,0.25,0.125,0.0909,0.0,0.0,0.2885
burnside_app,Mathlib.GroupTheory.Subgroup.Simple,0.25,0.0,0.0,0.0,0.0,0.25
burnside_app,Mathlib.GroupTheory.Perm.ViaEmbedding,0.25,0.0,0.0,0.0,0.0,0.25
burnside_app,Mathlib.GroupTheory.Abelianization.Defs,0.25,0.0,0.0,0.0,0.0,0.25
burnside_app,Mathlib.GroupTheory.GroupAction.Primitive,0.25,0.125,0.0909,0.0,0.0,0.2885
burnside_app,Mathlib.GroupTheory.Nilpotent,0.25,0.0,0.0,0.0,0.0,0.25
burnside_app,Mathlib.GroupTheory.GroupAction.Quotient,0.2494,0.125,0.0909,0.1978,0.0,0.3077
burnside_app,Mathlib.GroupTheory.FreeGroup.Orbit,0.2484,0.125,0.0909,0.1937,0.0,0.3063
eqtype,Mathlib.Data.TypeVec,0.2913,0.0,0.0,0.0901,0.0,0.3003
eqtype,Mathlib.Order.TypeTags,0.271,0.0,0.0,0.0088,0.0,0.2719
eqtype,Mathlib.Data.Int.ModEq,0.2649,0.0,0.0,0.0153,0.0,0.2664
eqtype,Mathlib.Data.Nat.ModEq,0.2646,0.0,0.0,0.0139,0.0,0.266
eqtype,Mathlib.Order.Filter.AtTopBot.ModEq,0.2482,0.0,0.0,0.0235,0.0,0.2505
eqtype,Mathlib.Logic.Embedding.Set,0.2362,0.0,0.0,0.145,0.0,0.2507
eqtype,Mathlib.Logic.Encodable.Basic,0.2354,0.0,0.0,0.1417,0.0,0.2496
eqtype,Mathlib.Data.Fintype.Defs,0.2325,0.0,0.0,0.1299,0.0,0.2455
eqtype,Mathlib.Data.Finset.BooleanAlgebra,0.2316,0.0,0.0,0.1263,0.0,0.2442
eqtype,Mathlib.Data.Int.Range,0.231,0.0,0.0,0.1238,0.0,0.2434
seq,Mathlib.Data.Seq.Seq,0.3828,0.5,0.25,0.1812,0.0,0.5459
seq,Mathlib.Data.Seq.Defs,0.3752,0.5,0.2,0.2609,0.0,0.5423
seq,Mathlib.Data.List.Pi,0.3678,0.25,0.2,0.231,0.0,0.4694
seq,Mathlib.Data.WSeq.Productive,0.3528,0.5,0.1667,0.2445,0.0,0.5156
seq,Mathlib.Data.WSeq.Basic,0.3516,0.5,0.1667,0.2396,0.0,0.5139
seq,Mathlib.Data.List.Palindrome,0.3488,0.25,0.2,0.1552,0.0,0.4428
seq,Mathlib.Data.List.Triplewise,0.3428,0.25,0.2,0.1312,0.0,0.4344
seq,Mathlib.Data.Seq.Parallel,0.3425,0.5,0.2,0.1301,0.0,0.4965
seq,Mathlib.Data.List.Lookmap,0.34,0.25,0.2,0.1201,0.0,0.4305
seq,Mathlib.Data.List.Induction,0.3399,0.25,0.2,0.1197,0.0,0.4304
