mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
frobenius,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2689,0.0672,0.3361,-1,,10
cyclic,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.4452,0.0,0.4452,0,HIGH,1
cyclic,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3521,0.0,0.3521,-1,,2
cyclic,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3424,0.0,0.3424,-1,,3
cyclic,solvable,Mathlib.GroupTheory.Perm.Closure,GroupTheory,0.3352,0.0,0.3352,-1,,4
cyclic,solvable,Mathlib.Algebra.Order.Group.Cyclic,Algebra,0.3317,0.0,0.3317,-1,,5
cyclic,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3312,0.0,0.3312,-1,,6
cyclic,solvable,Mathlib.GroupTheory.Schreier,GroupTheory,0.3307,0.0,0.3307,-1,,7
cyclic,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3306,0.0,0.3306,-1,,8
cyclic,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3304,0.0,0.3304,-1,,9
cyclic,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3294,0.0,0.3294,-1,,10
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Defs,GroupTheory,0.2589,0.0647,0.3236,1,MEDIUM,1
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Basic,GroupTheory,0.2796,0.0,0.2796,-1,,2
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Hom,GroupTheory,0.2,0.05,0.25,-1,,3
burnside_app,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2,0.05,0.25,-1,,4
burnside_app,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2,0.05,0.25,-1,,5
burnside_app,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2,0.05,0.25,-1,,6
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.2,0.05,0.25,-1,,7
burnside_app,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2,0.05,0.25,-1,,8
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Quotient,GroupTheory,0.2494,0.0,0.2494,-1,,9
burnside_app,solvable,Mathlib.GroupTheory.FreeGroup.Orbit,GroupTheory,0.2484,0.0,0.2484,-1,,10
eqtype,boot,Mathlib.Data.TypeVec,Data,0.2913,0.0,0.2913,2,MEDIUM,1
eqtype,boot,Mathlib.Order.TypeTags,Order,0.271,0.0,0.271,-1,,2
eqtype,boot,Mathlib.Data.Int.ModEq,Data,0.2649,0.0,0.2649,-1,,3
eqtype,boot,Mathlib.Data.Nat.ModEq,Data,0.2646,0.0,0.2646,-1,,4
eqtype,boot,Mathlib.Order.Filter.AtTopBot.ModEq,Order,0.2482,0.0,0.2482,-1,,5
eqtype,boot,Mathlib.Logic.Embedding.Set,Logic,0.2362,0.0,0.2362,-1,,6
eqtype,boot,Mathlib.Logic.Encodable.Basic,Logic,0.2354,0.0,0.2354,-1,,7
