mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
maximal,solvable,Mathlib.GroupTheory.Perm.MaximalSubgroups,GroupTheory,0.3286,0.0,0.3286,-1,,5
maximal,solvable,Mathlib.GroupTheory.Subgroup.Centralizer,GroupTheory,0.314,0.0,0.314,-1,,6
maximal,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.3061,0.0,0.3061,-1,,7
maximal,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3029,0.0,0.3029,-1,,8
maximal,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.2975,0.0,0.2975,-1,,9
maximal,solvable,Mathlib.GroupTheory.GroupAction.FixingSubgroup,GroupTheory,0.2784,0.0,0.2784,-1,,10
jordanholder,solvable,Mathlib.Order.JordanHolder,Order,0.3475,0.0,0.3475,1,MEDIUM,1
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.2967,0.0,0.2967,-1,,2
jordanholder,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2372,0.0593,0.2965,-1,,3
jordanholder,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2366,0.0592,0.2958,-1,,4
jordanholder,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2199,0.055,0.2748,-1,,5
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.OfQuotient,GroupTheory,0.2615,0.0,0.2615,-1,,6
jordanholder,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2038,0.051,0.2548,-1,,7
jordanholder,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.2472,0.0,0.2472,-1,,8
jordanholder,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2397,0.0,0.2397,-1,,9
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.2363,0.0,0.2363,-1,,10
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Finite,GroupTheory,0.3027,0.0,0.3027,2,MEDIUM,1
finmodule,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.3024,0.0,0.3024,-1,,2
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.2971,0.0,0.2971,-1,,3
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.2953,0.0,0.2953,-1,,4
finmodule,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.2893,0.0,0.2893,-1,,5
finmodule,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2857,0.0,0.2857,-1,,6
finmodule,solvable,Mathlib.GroupTheory.GroupAction.Quotient,GroupTheory,0.2258,0.0565,0.2823,-1,,7
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2256,0.0564,0.282,-1,,8
finmodule,solvable,Mathlib.GroupTheory.DedekindFinite,GroupTheory,0.2818,0.0,0.2818,-1,,9
finmodule,solvable,Mathlib.GroupTheory.SpecificGroups.KleinFour,GroupTheory,0.224,0.056,0.28,-1,,10
center,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.4994,0.0,0.4994,0,HIGH,1
center,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.4754,0.0,0.4754,-1,,2
center,solvable,Mathlib.GroupTheory.Subsemigroup.Center,GroupTheory,0.4743,0.0,0.4743,-1,,3
center,solvable,Mathlib.Algebra.Group.Center,Algebra,0.4202,0.0,0.4202,-1,,4
center,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3485,0.0,0.3485,-1,,5
center,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3413,0.0,0.3413,-1,,6
center,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3397,0.0,0.3397,-1,,7
center,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3357,0.0,0.3357,-1,,8
center,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.3332,0.0,0.3332,-1,,9
center,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3308,0.0,0.3308,-1,,10
