mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank
frobenius,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.2606,0.0,0.2606,-1,,10
cyclic,solvable,Mathlib.GroupTheory.SpecificGroups.Cyclic,GroupTheory,0.4414,0.0,0.4414,0,HIGH,1
cyclic,solvable,Mathlib.Algebra.Order.Group.Cyclic,Algebra,0.3988,0.0,0.3988,-1,,2
cyclic,solvable,Mathlib.GroupTheory.PGroup,GroupTheory,0.3083,0.0,0.3083,-1,,3
cyclic,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3014,0.0,0.3014,-1,,4
cyclic,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.2987,0.0,0.2987,-1,,5
cyclic,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2896,0.0,0.2896,-1,,6
cyclic,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.2868,0.0,0.2868,-1,,7
cyclic,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.2861,0.0,0.2861,-1,,8
cyclic,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.2854,0.0,0.2854,-1,,9
cyclic,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2852,0.0,0.2852,-1,,10
burnside_app,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.15,0.0375,0.1875,-1,LOW,1
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Primitive,GroupTheory,0.15,0.0375,0.1875,-1,,2
burnside_app,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.15,0.0375,0.1875,-1,,3
burnside_app,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.15,0.0375,0.1875,-1,,4
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Defs,GroupTheory,0.15,0.0375,0.1875,-1,,5
burnside_app,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.15,0.0375,0.1875,-1,,6
burnside_app,solvable,Mathlib.GroupTheory.GroupAction.Hom,GroupTheory,0.15,0.0375,0.1875,-1,,7
burnside_app,solvable,Mathlib.GroupTheory.OreLocalization.Basic,GroupTheory,0.15,0.0,0.15,-1,,8
burnside_app,solvable,Mathlib.GroupTheory.Submonoid.Inverses,GroupTheory,0.15,0.0,0.15,-1,,9
burnside_app,solvable,Mathlib.GroupTheory.Submonoid.Centralizer,GroupTheory,0.15,0.0,0.15,-1,,10
eqtype,boot,Mathlib.Data.Subtype,Data,0.2573,0.0,0.2573,3,MEDIUM-LOW,1
eqtype,boot,Mathlib.Data.TypeVec,Data,0.2156,0.0,0.2156,-1,,2
eqtype,boot,Mathlib.Order.TypeTags,Order,0.2136,0.0,0.2136,-1,,3
eqtype,boot,Mathlib.Data.Nat.ModEq,Data,0.2106,0.0,0.2106,-1,,4
eqtype,boot,Mathlib.Data.Int.ModEq,Data,0.2099,0.0,0.2099,-1,,5
eqtype,boot,Mathlib.Logic.OpClass,Logic,0.1992,0.0,0.1992,-1,,6
eqtype,boot,Mathlib.Order.Types.Defs,Order,0.1939,0.0,0.1939,-1,,7
eqtype,boot,Mathlib.Order.Filter.AtTopBot.ModEq,Order,0.1925,0.0,0.1925,-1,,8
eqtype,boot,Mathlib.Order.Types.Arithmetic,Order,0.1925,0.0,0.1925,-1,,9
eqtype,boot,Mathlib.Logic.Function.FromTypes,Logic,0.1907,0.0,0.1907,-1,,10
seq,boot,Mathlib.Data.Seq.Seq,Data,0.3453,0.0,0.3453,1,MEDIUM,1
