mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,base_score,propagation_bonus,final_score,anchor_round,confidence_tier,rank,original_rank,reranked_score,concept_bonus,synonym_bonus,text_v3_contrib,decl_contrib
jordanholder,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2332,0.0583,0.2915,-1,,5,3,0.3146,0.0,0.0,0.0133,0.0099
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Iwasawa,GroupTheory,0.2407,0.0,0.2407,-1,,6,9,0.2927,0.0,0.0,0.0163,0.0357
jordanholder,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2158,0.054,0.2698,-1,,7,5,0.2761,0.0,0.0,0.0063,0.0
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.OfQuotient,GroupTheory,0.2519,0.0,0.2519,-1,,8,8,0.2727,0.0,0.0,0.0208,0.0
jordanholder,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2056,0.0514,0.257,-1,,9,7,0.2592,0.0,0.0,0.0022,0.0
jordanholder,solvable,Mathlib.GroupTheory.ClassEquation,GroupTheory,0.2376,0.0,0.2376,-1,,10,10,0.2527,0.0,0.0,0.0151,0.0
finmodule,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.3072,0.0,0.3072,2,MEDIUM,1,1,0.3401,0.0,0.0,0.0115,0.0214
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.3005,0.0,0.3005,-1,,2,2,0.3163,0.0,0.0,0.0158,0.0
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2216,0.0554,0.2769,-1,,3,10,0.3124,0.0,0.0,0.0086,0.0268
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.2967,0.0,0.2967,-1,,4,4,0.3109,0.0,0.0,0.0142,0.0
finmodule,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.2781,0.0,0.2781,-1,,5,9,0.3093,0.0,0.0,0.0312,0.0
finmodule,solvable,Mathlib.GroupTheory.Abelianization.Finite,GroupTheory,0.2991,0.0,0.2991,-1,,6,3,0.3073,0.0,0.0,0.0082,0.0
finmodule,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.2886,0.0,0.2886,-1,,7,5,0.3042,0.0,0.0,0.004,0.0116
finmodule,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2884,0.0,0.2884,-1,,8,6,0.2962,0.0,0.0,0.0078,0.0
finmodule,solvable,Mathlib.GroupTheory.SpecificGroups.KleinFour,GroupTheory,0.2255,0.0564,0.2818,-1,,9,8,0.292,0.0,0.0,0.0102,0.0
finmodule,solvable,Mathlib.GroupTheory.DedekindFinite,GroupTheory,0.2819,0.0,0.2819,-1,,10,7,0.2871,0.0,0.0,0.0052,0.0
center,solvable,Mathlib.GroupTheory.Subgroup.Center,GroupTheory,0.4875,0.0,0.4875,0,HIGH,1,1,0.8038,0.25,0.016,0.027,0.0233
center,solvable,Mathlib.GroupTheory.Submonoid.Center,GroupTheory,0.4788,0.0,0.4788,-1,,2,2,0.7683,0.25,0.016,0.0235,0.0
center,solvable,Mathlib.GroupTheory.Subsemigroup.Center,GroupTheory,0.4774,0.0,0.4774,-1,,3,3,0.7663,0.25,0.016,0.0229,0.0
center,solvable,Mathlib.Algebra.Group.Center,Algebra,0.4113,0.0,0.4113,-1,,4,4,0.7347,0.25,0.0267,0.0178,0.0289
center,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3443,0.0,0.3443,-1,,5,5,0.3683,0.0,0.0,0.0137,0.0103
center,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3418,0.0,0.3418,-1,,6,6,0.3545,0.0,0.0,0.0127,0.0
center,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3387,0.0,0.3387,-1,,7,7,0.3502,0.0,0.0,0.0115,0.0
center,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.3321,0.0,0.3321,-1,,8,9,0.3487,0.0,0.0,0.0089,0.0078
center,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3358,0.0,0.3358,-1,,9,8,0.3461,0.0,0.0,0.0103,0.0
center,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.3316,0.0,0.3316,-1,,10,10,0.3403,0.0,0.0,0.0087,0.0
sylow,solvable,Mathlib.GroupTheory.Sylow,GroupTheory,0.4973,0.0,0.4973,0,HIGH,1,1,0.8168,0.25,0.02,0.0309,0.0186
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.ZGroup,GroupTheory,0.3496,0.0,0.3496,-1,,2,4,0.4179,0.0,0.0,0.0354,0.0329
sylow,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.3604,0.0,0.3604,-1,,3,2,0.4142,0.0,0.0,0.0275,0.0264
sylow,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.3517,0.0,0.3517,-1,,4,3,0.4094,0.0,0.0,0.024,0.0337
sylow,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.KleinFour,GroupTheory,0.3119,0.0,0.3119,-1,,5,9,0.3675,0.0,0.0,0.0264,0.0292
sylow,solvable,Mathlib.GroupTheory.RegularWreathProduct,GroupTheory,0.3148,0.0,0.3148,-1,,6,8,0.361,0.0,0.0,0.0215,0.0247
sylow,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3398,0.0,0.3398,-1,,7,5,0.359,0.0,0.0,0.0192,0.0
sylow,solvable,Mathlib.GroupTheory.Focal,GroupTheory,0.3189,0.0,0.3189,-1,,8,6,0.3298,0.0,0.0,0.0109,0.0
sylow,solvable,Mathlib.GroupTheory.Commensurable,GroupTheory,0.3183,0.0,0.3183,-1,,9,7,0.329,0.0,0.0,0.0107,0.0
sylow,solvable,Mathlib.GroupTheory.Goursat,GroupTheory,0.308,0.0,0.308,-1,,10,10,0.3145,0.0,0.0,0.0065,0.0
all_solvable,solvable,Mathlib.GroupTheory.Solvable,GroupTheory,0.4306,0.0,0.4306,0,HIGH,1,1,0.6198,0.125,0.016,0.0482,0.0
all_solvable,solvable,Mathlib.Algebra.Lie.Solvable,Algebra,0.2284,0.0,0.2284,-1,,2,2,0.4098,0.125,0.02,0.0364,0.0
all_solvable,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.2227,0.0,0.2227,-1,,3,3,0.2318,0.0,0.0,0.0091,0.0
all_solvable,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.2142,0.0,0.2142,-1,,4,4,0.2199,0.0,0.0,0.0057,0.0
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.ModEq,GroupTheory,0.2,0.0,0.2,-1,,5,5,0.2,0.0,0.0,0.0,0.0
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.2,0.0,0.2,-1,,6,6,0.2,0.0,0.0,0.0,0.0
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.2,0.0,0.2,-1,,7,7,0.2,0.0,0.0,0.0,0.0
all_solvable,solvable,Mathlib.GroupTheory.QuotientGroup.Basic,GroupTheory,0.2,0.0,0.2,-1,,8,8,0.2,0.0,0.0,0.0,0.0
all_solvable,solvable,Mathlib.GroupTheory.PushoutI,GroupTheory,0.2,0.0,0.2,-1,,9,9,0.2,0.0,0.0,0.0,0.0
all_solvable,solvable,Mathlib.GroupTheory.PresentedGroup,GroupTheory,0.2,0.0,0.2,-1,,10,10,0.2,0.0,0.0,0.0,0.0
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Quaternion,GroupTheory,0.3453,0.0,0.3453,-1,,1,4,0.4073,0.0,0.0,0.0337,0.0283
extraspecial,solvable,Mathlib.GroupTheory.Nilpotent,GroupTheory,0.3168,0.0792,0.396,1,MEDIUM,2,1,0.4061,0.0,0.0,0.0101,0.0
extraspecial,solvable,Mathlib.GroupTheory.Subgroup.Simple,GroupTheory,0.2972,0.0743,0.3716,-1,,3,2,0.3791,0.0,0.0,0.0075,0.0
extraspecial,solvable,Mathlib.GroupTheory.Abelianization.Defs,GroupTheory,0.2957,0.0739,0.3696,-1,,4,3,0.3764,0.0,0.0,0.0068,0.0
extraspecial,solvable,Mathlib.GroupTheory.SpecificGroups.Dihedral,GroupTheory,0.3243,0.0,0.3243,-1,,5,8,0.3714,0.0,0.0,0.0253,0.0218
extraspecial,solvable,Mathlib.GroupTheory.Rank,GroupTheory,0.3304,0.0,0.3304,-1,,6,6,0.3673,0.0,0.0,0.0155,0.0214
extraspecial,solvable,Mathlib.GroupTheory.Exponent,GroupTheory,0.3257,0.0,0.3257,-1,,7,7,0.3573,0.0,0.0,0.0136,0.018
extraspecial,solvable,Mathlib.GroupTheory.Perm.ViaEmbedding,GroupTheory,0.2685,0.0671,0.3357,-1,,8,5,0.3387,0.0,0.0,0.003,0.0
extraspecial,solvable,Mathlib.GroupTheory.Archimedean,GroupTheory,0.3206,0.0,0.3206,-1,,9,9,0.3322,0.0,0.0,0.0116,0.0
extraspecial,solvable,Mathlib.GroupTheory.Torsion,GroupTheory,0.3196,0.0,0.3196,-1,,10,10,0.3308,0.0,0.0,0.0112,0.0
gseries,solvable,Mathlib.GroupTheory.IsSubnormal,GroupTheory,0.413,0.0,0.413,0,HIGH,1,1,0.5724,0.05,0.0089,0.0302,0.0703
