mathcomp_module,mathcomp_cluster,mathlib_module,mathlib_category,name_score,text_score,category_score,graph_score,combined_score,rank
maximal,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.1111,0.1388,1.0,0.0,0.1889,8
maximal,solvable,Mathlib.GroupTheory.GroupAction.SubMulAction.OfFixingSubgroup,GroupTheory,0.0769,0.0932,1.0,0.0909,0.1785,9
maximal,solvable,Mathlib.GroupTheory.Frattini,GroupTheory,0.0,0.1963,1.0,0.0,0.1785,10
jordanholder,solvable,Mathlib.Order.JordanHolder,Order,0.5,0.0692,0.0,0.0,0.1777,1
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Jordan,GroupTheory,0.1,0.0991,1.0,0.0,0.1696,2
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.Quotient,GroupTheory,0.0,0.127,1.0,0.0,0.1508,3
jordanholder,solvable,Mathlib.GroupTheory.GroupAction.OfQuotient,GroupTheory,0.0,0.127,1.0,0.0,0.1508,4
jordanholder,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.0,0.1146,1.0,0.0,0.1459,5
jordanholder,solvable,Mathlib.GroupTheory.QuotientGroup.Basic,GroupTheory,0.0,0.1132,1.0,0.0,0.1453,6
jordanholder,solvable,Mathlib.GroupTheory.QuotientGroup.Defs,GroupTheory,0.0,0.1114,1.0,0.0,0.1446,7
jordanholder,solvable,Mathlib.GroupTheory.FiniteIndexNormalSubgroup,GroupTheory,0.0,0.1031,1.0,0.0,0.1412,8
jordanholder,solvable,Mathlib.GroupTheory.QuotientGroup.ModEq,GroupTheory,0.0,0.0987,1.0,0.0,0.1395,9
jordanholder,solvable,Mathlib.GroupTheory.SpecificGroups.Alternating.MaximalSubgroups,GroupTheory,0.0,0.0984,1.0,0.0,0.1393,10
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Duality,GroupTheory,0.1111,0.1464,1.0,0.0,0.1919,1
finmodule,solvable,Mathlib.GroupTheory.Transfer,GroupTheory,0.0,0.2281,1.0,0.0,0.1912,2
finmodule,solvable,Mathlib.GroupTheory.FiniteAbelian.Basic,GroupTheory,0.1111,0.1397,1.0,0.0,0.1892,3
finmodule,solvable,Mathlib.GroupTheory.Commutator.Finite,GroupTheory,0.1429,0.0748,1.0,0.0,0.1728,4
finmodule,solvable,Mathlib.GroupTheory.QuotientGroup.Finite,GroupTheory,0.125,0.0795,1.0,0.0,0.1693,5
finmodule,solvable,Mathlib.GroupTheory.Perm.Finite,GroupTheory,0.1429,0.0582,1.0,0.0,0.1661,6
